TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG
01-01-2019,"24,8",31,"27,8",82,"3,2","5,4",8,350,3
02-01-2019,"25,6",31,"27,5",84,0,"2,5",5,270,2
03-01-2019,25,"29,8","27,5",85,"1,6","2,6",4,10,1
04-01-2019,"25,2",31,"28,1",80,-,0,6,10,2
05-01-2019,"25,2",31,"28,5",81,0,0,5,340,2
06-01-2019,"25,2","32,4",29,79,0,9,6,320,2
07-01-2019,"26,8","32,6","29,4",79,0,11,5,360,2
08-01-2019,"25,4","31,8","28,1",85,0,"6,8",5,360,1
09-01-2019,25,"31,6",29,84,"27,6","5,8",6,360,2
10-01-2019,"25,6","32,2","28,7",81,0,"7,9",3,300,1
11-01-2019,"25,8","31,6","29,2",82,1,"8,4",5,340,1
12-01-2019,"25,4","31,8","28,6",82,"6,7","9,6",4,360,2
13-01-2019,25,"31,6","27,7",86,"1,8","8,5",5,290,1
14-01-2019,"24,4",31,"27,5",84,1,"5,8",6,270,2
15-01-2019,"25,4",32,"28,2",82,0,"4,7",8,270,2
16-01-2019,"25,8","29,8","27,3",88,"1,2","5,7",5,270,2
17-01-2019,26,"31,6","27,9",84,"0,6",0,8,270,4
18-01-2019,"24,2","31,2",27,88,"22,9",6,4,350,1
19-01-2019,"24,8","30,2","27,4",86,"8,6","5,6",4,340,1
20-01-2019,"25,6",30,"27,8",83,"5,2",4,2,350,0
21-01-2019,25,"31,6","27,3",88,-,-,6,270,2
22-01-2019,"24,8","29,8","26,2",90,"20,8","4,8",11,250,4
23-01-2019,"23,8","30,4","26,3",87,"40,8",0,9,280,3
24-01-2019,"24,4","31,2","27,8",83,5,"1,4",8,310,4
25-01-2019,25,29,"26,5",90,"4,1",5,9,280,2
26-01-2019,25,31,"27,5",84,13,0,21,250,5
27-01-2019,24,"27,4","25,8",93,"33,9","6,2",9,260,2
28-01-2019,"24,6","27,8","26,6",86,"10,9",0,5,300,2
29-01-2019,24,"29,6","26,7",90,1,0,5,270,2
30-01-2019,"23,4","31,2","26,6",85,"3,5","0,7",7,330,3
31-01-2019,24,"30,4","26,9",90,0,"10,2",4,340,1
01-02-2019,"24,2","31,4","27,3",87,"2,8",2,5,360,2
02-02-2019,"24,6","30,4","27,4",87,1,"6,5",5,270,2
03-02-2019,"24,6","30,8","25,9",-,1,"6,3",5,320,1
04-02-2019,22,"31,2","26,9",86,"25,4","1,9",5,330,1
05-02-2019,"24,4","30,6","26,6",88,"7,5",6,6,340,2
06-02-2019,"23,2","30,8","26,5",89,"30,5","3,5",6,330,1
07-02-2019,"24,8","31,4","27,6",86,"12,1","7,3",6,290,2
08-02-2019,"23,8","30,8","26,6",90,"46,4","5,5",3,280,1
09-02-2019,"24,6","31,6","28,4",85,"9,5","3,8",4,360,1
10-02-2019,26,31,"28,4",84,"0,2","6,7",7,360,2
11-02-2019,"25,2","31,2","27,7",87,"0,4","6,5",5,340,2
12-02-2019,"24,8","31,2",28,81,"4,8","0,2",3,350,1
13-02-2019,"24,8","31,2",28,81,"4,8","0,2",3,350,1
14-02-2019,25,"31,4","27,9",83,-,"6,2",6,340,2
15-02-2019,26,31,"27,4",89,0,"7,3",3,260,1
16-02-2019,25,"31,4","27,8",85,23,"2,4",8,130,2
17-02-2019,22,"31,8",28,81,40,"9,6",4,250,2
18-02-2019,"25,4","31,4","27,7",84,0,"9,7",4,360,2
19-02-2019,"24,2","31,8","28,2",81,0,"6,6",5,350,1
20-02-2019,"25,4","31,4","28,6",81,0,"9,6",5,280,2
21-02-2019,"25,4",31,"28,2",78,0,"6,3",3,310,1
22-02-2019,25,"31,6","27,9",82,0,"5,7",4,340,1
23-02-2019,"24,2",32,"27,3",84,2,"6,8",6,320,2
24-02-2019,"24,6","32,2","28,2",82,"11,3","7,1",4,320,2
